violation_type,violation_section,violation_description,reviewed_dv_classification,normalized_section,numeric_statute_family,explicit_attempt_prefix,categories,reason,charge_rows,source_id_groups,statute_url
PC,487(A),GRAND THEFT (Theft of Mot Veh Parts/Acc) (F),other,487(A),487,0,all|property,property: explicit PC numeric statute family 487,76,73,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=487.
PC,503,EMBEZZLEMENT [OVER $950] (F),other,503,503,0,all,All-source population only; outside the selected statute-family indicators,76,76,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=503.
PC,827.1,MISD CITE AND RELEASE ON ACTIVE WARRANT,other,827.1,827.1,0,all,All-source population only; outside the selected statute-family indicators,76,76,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=827.1.
CO,MISC,MISC CITY/COUNTY MISDEMEANOR ORDINANCES (M),other,MISC,,0,all,All-source population only; outside the selected statute-family indicators,75,75,
PC,22210,MANUFACTURE/SALE/POSSESS/ETC LEADED CANE/BILLY/ETC (M),other,22210,22210,0,all|weapons,weapons: explicit PC numeric statute family 22210,75,75,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=22210.
PC,484G,THEFT BY USE OF ACCESS CARD INFORMATION [$950 OR LESS] (M),other,484G,484,0,all|property,property: explicit PC numeric statute family 484,75,75,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=484.
PC,490.4(A)(1),THEFT OF MERCHANDISE W/ INTENT TO SELL/EXCHANGE: OVER $950 (F),other,490.4(A)(1),490.4,0,all,All-source population only; outside the selected statute-family indicators,75,69,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=490.4.
PC,532A,OBTAIN MONEY/ETC BY FALSE PRETENSES [OVER $950] (F),other,532A,532,0,all,All-source population only; outside the selected statute-family indicators,75,74,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=532.
BP,25662(A),MINOR POSS ALC (M),other,25662(A),25662,0,all,All-source population only; outside the selected statute-family indicators,73,69,
PC,314(1),INDECENT EXPOSURE (M),other,314(1),314,0,all,All-source population only; outside the selected statute-family indicators,73,73,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=314.
PC,166(A)(1),CONTEMPT OF COURT:DISORD BEHAVIOR (M),ambiguous_related,166(A)(1),166,0,all,All-source population only; outside the selected statute-family indicators,71,71,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=166.
PC,21810,MANUFACTURE/SALE/POSSESS/ETC METAL KNUCKLES (M),other,21810,21810,0,all|weapons,weapons: explicit PC numeric statute family 21810,70,70,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=21810.
PC,29800(B),CONVICTED PERSON POSSESS/OWN/ETC FIREARM (F),other,29800(B),29800,0,all|weapons,weapons: explicit PC numeric statute family 29800,70,70,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=29800.
PC,496D(A),POSSESS STOLEN VEHICLE/VESSEL/ETC (M),other,496D(A),496,0,all|property,property: explicit PC numeric statute family 496,70,67,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=496.
PC,484,THEFT (M),other,484,484,0,all|property,property: explicit PC numeric statute family 484,68,68,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=484.
PC,647.6(A)(1),ANNOY/MOLEST VICTIM UNDER 18 YEARS OF AGE (M),other,647.6(A)(1),647.6,0,all,All-source population only; outside the selected statute-family indicators,68,68,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=647.6.
PC,4502(A),PRISONER POSS WEAPON (F),other,4502(A),4502,0,all,All-source population only; outside the selected statute-family indicators,67,67,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4502.
VC,23152B,DUI ALC/0.08 PERCENT,other,23152B,23152,0,all|driving,driving: explicit VC numeric statute family 23152,67,67,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23152.
PC,647(F)DK,DISORD CONDUCT:ALC,other,647(F)DK,647,0,all,All-source population only; outside the selected statute-family indicators,66,65,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=647.
VC,22350,UNSAFE SPEED (BASIC SPEED LAW) (I),other,22350,22350,0,all,All-source population only; outside the selected statute-family indicators,66,66,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22350.
BP,4060,POSSESS CONTROLLED SUBSTANCES WITHOUT A PRESCRIPTION (M),other,4060,4060,0,all,All-source population only; outside the selected statute-family indicators,65,65,
HS,11350(A),POSS NARCOTIC CONTROLLED SUBS,other,11350(A),11350,0,all|drug,drug: explicit HS numeric statute family 11350,65,64,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11350.
PC,530.5(E),COMMIT MAIL THEFT (M),other,530.5(E),530.5,0,all|property,property: explicit PC numeric statute family 530.5,65,64,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=530.5.
MC,9.20.020C,NO PERSON SHALL CAMP ETC. ON PRIVATE PROPERTY W/O PERMISSION (M),other,9.20.020C,9.20,0,all,All-source population only; outside the selected statute-family indicators,64,61,
PC,4573.9,NON-INMATE SELL CNTL SUB TO PERS IN CUST (F),other,4573.9,4573.9,0,all,All-source population only; outside the selected statute-family indicators,63,63,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4573.9.
PC,530,PERSONATE TO GET MONEY/PROP [OVER $400] (F),other,530,530,0,all,All-source population only; outside the selected statute-family indicators,63,63,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=530.
PC,273A(A),WILLFUL CRUELTY TO CHILD:WITH MINOR INJURY (M),ambiguous_related,273A(A),273,0,all,All-source population only; outside the selected statute-family indicators,62,62,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=273.
HS,11550(E),UNDER INFL OF SPEC CONT SUBS:POSS FIREARM (F),other,11550(E),11550,0,all|drug,drug: explicit HS numeric statute family 11550,61,61,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11550.
MC,10.32.040(A),Posses open alcoholic container in public,other,10.32.040(A),10.32,0,all,All-source population only; outside the selected statute-family indicators,61,59,
PC,451C,ARSON:STRUCTURE/FOREST LAND (F),other,451C,451,0,all,All-source population only; outside the selected statute-family indicators,61,61,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=451.
PC,417A2,EXHIBIT FIREARM (M),other,417A2,417,0,all|weapons,weapons: explicit PC numeric statute family 417,60,60,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=417.
VC,23550(A),DUI W/PRIOR SPECIFIC CONVICTIONS (F),other,23550(A),23550,0,all|driving,driving: explicit VC numeric statute family 23550,59,59,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23550.
PC,25850(C)(2),CARRY STOLEN LOADED FIREARM (F),other,25850(C)(2),25850,0,all|weapons,weapons: explicit PC numeric statute family 25850,58,58,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=25850.
PC,273.5A,SPOUSAL/COHABITANT ABUSE WITH MINOR INJURY,core_dv,273.5A,273.5,0,all|core,Core DV: existing reviewed exact charge classification,57,57,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=273.5.
PC,32,ACCESSORY TO FELONY (F),other,32,32,0,all,All-source population only; outside the selected statute-family indicators,57,56,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=32.
PC,368(B)(1),ACTIONS LIKELY TO CAUSE HARM/DEATH OF ELDER /DEPENDENT ADULT (M),ambiguous_related,368(B)(1),368,0,all,All-source population only; outside the selected statute-family indicators,57,56,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=368.
PC,647(F)DK,DISORD CONDUCT:UNDER INFL OF TOLUENE (M),other,647(F)DK,647,0,all,All-source population only; outside the selected statute-family indicators,57,57,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=647.
PC,4600,DAMAGE JAIL/PRISON/PROPERTY (OVER $950) (F),other,4600,4600,0,all,All-source population only; outside the selected statute-family indicators,55,55,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4600.
VC,24252A,FAILURE TO MAINTAIN VEH LIGHTING EQUIP (I),other,24252A,24252,0,all,All-source population only; outside the selected statute-family indicators,55,55,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=24252.
PC,475(C),PASS COMPLETED CHECK WITH INTENT TO DEFRAUD (F),other,475(C),475,0,all|property,property: explicit PC numeric statute family 475,54,54,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=475.
PC,166(C)(4),VIOLATE PROTECTIVE ORDER:DOMESTIC VIOL:W/PR (F),dv_labeled_order,166(C)(4),166,0,all,All-source population only; outside the selected statute-family indicators,53,53,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=166.
PC,484G,THEFT BY USE OF ACCESS CARD INFORMATION [OVER $950] (F),other,484G,484,0,all|property,property: explicit PC numeric statute family 484,53,52,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=484.
VC,10852,TAMPER WITH VEH,other,10852,10852,0,all,All-source population only; outside the selected statute-family indicators,52,52,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=10852.
VC,14601.1(A),DRVG WHILE LIC SUSP OR REVOKED:OTHER REASONS (I),other,14601.1(A),14601.1,0,all|driving,driving: explicit VC numeric statute family 14601.1,52,52,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=14601.1.
HS,11550(A),USE/UNDER INFL OF CONTROLLED SUBS,other,11550(A),11550,0,all|drug,drug: explicit HS numeric statute family 11550,51,51,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11550.
PC,69,OBSTRUCT/RESIST EXECUTIVE OFFICER WITH SERIOUS INJURY (F),other,69,69,0,all,All-source population only; outside the selected statute-family indicators,51,51,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=69.
VC,22450(A),FAILED TO STOP FOR STOP SIGN (I),other,22450(A),22450,0,all,All-source population only; outside the selected statute-family indicators,50,50,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=22450.
VC,2800.4,EVADING A PEACE OFFICER:WRONG WAY DRIVER (F),other,2800.4,2800.4,0,all|driving,driving: explicit VC numeric statute family 2800.4,49,49,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=2800.4.
PC,368(D),THEFT OF ELDER/DEPENDENT ADULT (LARCENY OVER $950) (F),ambiguous_related,368(D),368,0,all,All-source population only; outside the selected statute-family indicators,48,48,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=368.
PC,666.1(A)(1),GRAND THEFT (SHOPLIFT) W/2+ PRIOR CONVICTIONS (F),other,666.1(A)(1),666.1,0,all|property,property: explicit PC numeric statute family 666.1,48,47,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=666.1.
PC,25850(C)(3),CRIMINAL STREET GANG MEMBER CARRY LOADED FIREARM (F),other,25850(C)(3),25850,0,all|weapons,weapons: explicit PC numeric statute family 25850,47,45,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=25850.
VC,10851(E),TAKE VEHICLE WITHOUT OWNER CONSENT WITH SPECIFIC PRIORS (F),other,10851(E),10851,0,all|property,property: explicit VC numeric statute family 10851,47,47,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=10851.
BP,25661,POSS/USE FALSE EVIDENCE OF AGE (M),other,25661,25661,0,all,All-source population only; outside the selected statute-family indicators,46,46,
PC,290.018(A),SEX OFFENDER FAIL TO REGISTER/ETC (M),other,290.018(A),290.018,0,all,All-source population only; outside the selected statute-family indicators,45,45,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=290.018.
PC,4573.6(A),POSS CONTROLLED SUBS IN PRISON/JAIL,other,4573.6(A),4573.6,0,all,All-source population only; outside the selected statute-family indicators,45,43,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4573.6.
PC,23900,ALTER/REMOVE/ETC IDENTIFICATION MARKS ON FIREARM (F),other,23900,23900,0,all|weapons,weapons: explicit PC numeric statute family 23900,44,43,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=23900.
PC,647(H),DISORD CONDUCT:PROWL/LOITER PRIVATE PROP (M),other,647(H),647,0,all,All-source population only; outside the selected statute-family indicators,44,44,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=647.
VC,4462B,DISPLAY ON VEH/GIVE TO PEACE OFCR FALSE REGISTRATION (I),other,4462B,4462,0,all,All-source population only; outside the selected statute-family indicators,44,44,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=4462.
PC,475A,POSS BAD CHECK (F),other,475A,475,0,all|property,property: explicit PC numeric statute family 475,43,43,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=475.
VC,4463(A)(1),FORGE/ALTER VEHICLE REGISTRATION/ETC (M),other,4463(A)(1),4463,0,all,All-source population only; outside the selected statute-family indicators,43,43,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=4463.
ZZ,980000,COUNTY/MUNICIPAL ORDINANCES,other,980000,980000,0,all,All-source population only; outside the selected statute-family indicators,43,40,
BP,25620,POSS OPEN CONTAINER OF ALC IN PUBLIC (I),other,25620,25620,0,all,All-source population only; outside the selected statute-family indicators,42,40,
PC,290.018(G),290 VIOLATION TRAN 30 DAY UPDATE (M),other,290.018(G),290.018,0,all,All-source population only; outside the selected statute-family indicators,42,42,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=290.018.
VC,21453A,SIGNAL LIGHTS:CIRCULAR RED (I),other,21453A,21453,0,all,All-source population only; outside the selected statute-family indicators,42,42,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21453.
PC,261(A)(2),RAPE BY FORCE/FEAR (F),ambiguous_related,261(A)(2),261,0,all,All-source population only; outside the selected statute-family indicators,41,37,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=261.
PC,508,EMBEZZLEMENT BY EMPLOYEE [OVER $950],other,508,508,0,all,All-source population only; outside the selected statute-family indicators,41,41,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=508.
VC,23550.5(A),DRIVING UNDER INFLUENCE WITHIN 10 YEARS OF PRIOR FELONY DUI (F),other,23550.5(A),23550.5,0,all|driving,driving: explicit VC numeric statute family 23550.5,41,41,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23550.5.
HS,11357(A)(2),POSSESS MARIJUANA 28.5 GRAMS OR LESS - 18-21 (I),other,11357(A)(2),11357,0,all|drug,drug: explicit HS numeric statute family 11357,40,40,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11357.
PC,33210,MANUFACTURE/IMPORT/POSSESS/ETC SHORT-BARRELED RIFLE/SHOTGUN (F),other,33210,33210,0,all|weapons,weapons: explicit PC numeric statute family 33210,40,40,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=33210.
PC,4573.9(A),NON-INMATE SELL CNTL SUB TO PERS IN CUST (F),other,4573.9(A),4573.9,0,all,All-source population only; outside the selected statute-family indicators,40,37,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4573.9.
HS,11370.4(B)4,AMPH/METH/PCP OVER 20KG OR 400L (BAIL+),other,11370.4(B)4,11370.4,0,all|drug,drug: explicit HS numeric statute family 11370.4,39,33,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11370.4.
PC,470B,POSSESS DRIVER'S LICENSE/IDENTIFICATION TO COMMIT FORGERY (F),other,470B,470,0,all|property,property: explicit PC numeric statute family 470,39,39,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=470.
PC,594(B)(1),VANDALISM ($400 OR MORE),other,594(B)(1),594,0,all|property,property: explicit PC numeric statute family 594,39,39,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=594.
BP,22435.2B,POSS SHOPPING/LAUNDRY CART (M),other,22435.2B,22435.2,0,all,All-source population only; outside the selected statute-family indicators,38,38,
PC,33215,MFG/IMPORT/ETC SHORT BARRELED RIFLE (F),other,33215,33215,0,all|weapons,weapons: explicit PC numeric statute family 33215,38,38,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=33215.
PC,381B,POSS NITROUS OXIDE (M),other,381B,381,0,all,All-source population only; outside the selected statute-family indicators,38,33,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=381.
VC,23222(A),POSS OPEN CONTAINER WHILE DRVG (I),other,23222(A),23222,0,all,All-source population only; outside the selected statute-family indicators,38,38,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23222.
VC,4463(A)(1),FORGE/ALTER VEH REGISTRATION (F),other,4463(A)(1),4463,0,all,All-source population only; outside the selected statute-family indicators,38,38,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=4463.
PC,203,MAYHEM (F),other,203,203,0,all,All-source population only; outside the selected statute-family indicators,37,37,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=203.
PC,22810(B),NARCOTIC ADDICT POSSESS/PURCHASE/USE/ETC TEARGAS/TEARGAS (M),other,22810(B),22810,0,all|weapons,weapons: explicit PC numeric statute family 22810,37,37,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=22810.
PC,4532(B)(1),ESCAPE JAIL/ETC WHILE CHARGED/ETC WITH A FELONY (F),other,4532(B)(1),4532,0,all,All-source population only; outside the selected statute-family indicators,37,37,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4532.
VC,21651B,LANE USAGE:DIV HWY:DRIVE WRONG SIDE OF BARRIER (M),other,21651B,21651,0,all,All-source population only; outside the selected statute-family indicators,37,37,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=21651.
VC,23152(A),DUI ALCOHOL,other,23152(A),23152,0,all|driving,driving: explicit VC numeric statute family 23152,37,37,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23152.
VC,23152(B),DUI ALC/0.08 PERCENT,other,23152(B),23152,0,all|driving,driving: explicit VC numeric statute family 23152,37,37,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23152.
ZZ,OW-F,FELONY OTHER AGENCY'S WARRANT,other,OW-F,,0,all,All-source population only; outside the selected statute-family indicators,37,36,
PC,25400(A)(2),CARRY CONCEALED WEAPON ON PERSON (M),other,25400(A)(2),25400,0,all|weapons,weapons: explicit PC numeric statute family 25400,36,34,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=25400.
PC,25850(C)(4),CARRY LOADED FIREARM:UNLAWFUL/PROHIBITED POSSESSION (F),other,25850(C)(4),25850,0,all|weapons,weapons: explicit PC numeric statute family 25850,36,36,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=25850.
PC,415(2),DISORD CONDUCT:DIST BY LOUD/UNREASONABLE NOISE (M),other,415(2),415,0,all,All-source population only; outside the selected statute-family indicators,36,36,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=415.
PC,422A,THREATEN CRIME WITH INTENT TO TERRORIZE (M),ambiguous_related,422A,422,0,all|violence,violence: explicit PC numeric statute family 422; core-DV charge excluded from this family,36,36,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=422.
PC,451B,ARSON:INHABITED STRUCTURE/PROP (F),other,451B,451,0,all,All-source population only; outside the selected statute-family indicators,36,36,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=451.
PC,653X(A),ANNOYING CALLS TO 911 (M),other,653X(A),653,0,all,All-source population only; outside the selected statute-family indicators,36,36,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=653.
PC,4532(B)(1),ATT/ESCAPE JAIL/ETC WHILE CHARGED/ETC WITH A FELONY (F),other,4532(B)(1),4532,0,all,All-source population only; outside the selected statute-family indicators,35,35,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4532.
WI,777A,FAIL TO OBEY ORDER OF JUVENILE COURT 601 WI (S),other,777A,777,0,all,All-source population only; outside the selected statute-family indicators,35,35,
ZZ,11,FEDERAL/ALL OTHERS,other,11,11,0,all,All-source population only; outside the selected statute-family indicators,35,35,
PC,243(C)(1),BATTERY AGAINST EMERGENCY PERSON MINOR INJURY (M),ambiguous_related,243(C)(1),243,0,all|violence,violence: explicit PC numeric statute family 243; core-DV charge excluded from this family,34,34,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=243.
PC,33410,POSSESS SILENCER (F),other,33410,33410,0,all|weapons,weapons: explicit PC numeric statute family 33410,34,32,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=33410.
PC,350(A)(2),MFG/SELL 1000 OR MORE COUNTERFEIT REG MARK (F),other,350(A)(2),350,0,all,All-source population only; outside the selected statute-family indicators,34,34,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=350.
PC,4502(B),PRISONER MANUFACTURE WEAPON (F),other,4502(B),4502,0,all,All-source population only; outside the selected statute-family indicators,34,34,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4502.
PC,148(A)(1),OBSTRUCT/RESIST PEACE OFCR/EMER MED TECH,other,148(A)(1),148,0,all,All-source population only; outside the selected statute-family indicators,33,33,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=148.
PC,1551.1,FUGITIVE FROM JUSTICE:ARREST W/OUT WARRANT (F),other,1551.1,1551.1,0,all,All-source population only; outside the selected statute-family indicators,33,33,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=1551.1.
PC,22010,MANUFACTURE/SALE/POSSESS/ETC NUNCHAKU (F),ambiguous_related,22010,22010,0,all|weapons,weapons: explicit PC numeric statute family 22010,33,33,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=22010.
PC,25400(A)(3),CARRY CONCEALED WEAPON IN VEHICLE:OCCUPANT (F),other,25400(A)(3),25400,0,all|weapons,weapons: explicit PC numeric statute family 25400,33,33,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=25400.
PC,417(A)(2)(B),EXHBT FIREARM THRTNG MANNER (M),other,417(A)(2)(B),417,0,all|weapons,weapons: explicit PC numeric statute family 417,33,33,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=417.
PC,485,APPROPRIATE LOST PROPERTY [OVER $950] (F),other,485,485,0,all|property,property: explicit PC numeric statute family 485,33,33,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=485.
PC,597(A),CRUELTY TO ANIMAL/S (F),other,597(A),597,0,all,All-source population only; outside the selected statute-family indicators,33,33,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=597.
VC,23109(A),ILLEGAL SPEED CONTEST (M),other,23109(A),23109,0,all|driving,driving: explicit VC numeric statute family 23109,33,32,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23109.
VC,23247(E),DRIVE W/O INTERLOCK Dev WHEN REQUIRED (M),other,23247(E),23247,0,all,All-source population only; outside the selected statute-family indicators,33,33,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=23247.
PC,22410,MANUFACTURE/SALE/POSSESS/ETC SHURIKEN (F),other,22410,22410,0,all|weapons,weapons: explicit PC numeric statute family 22410,32,32,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=22410.
PC,273D,INFLICT MINOR INJ UPON CHILD (F),ambiguous_related,273D,273,0,all,All-source population only; outside the selected statute-family indicators,32,32,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=273.
PC,459.5,SHOPLIFTING,other,459.5,459.5,0,all|property,property: explicit PC numeric statute family 459.5,32,30,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=459.5.
HS,11370.6(A),POSSESS MONEY/ETC FROM SALE/ETC OF CONTROLLED SUBSTANCE (F),other,11370.6(A),11370.6,0,all|drug,drug: explicit HS numeric statute family 11370.6,31,30,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=HSC&sectionNum=11370.6.
PC,22610(B),NARCOTIC ADDICT POSS/BUY/USE STUN GUN (M),other,22610(B),22610,0,all|weapons,weapons: explicit PC numeric statute family 22610,31,31,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=22610.
PC,243(C)(2),BATTERY AGAINST POLICE OFFICER WITH SERIOUS INJURY (F),ambiguous_related,243(C)(2),243,0,all|violence,violence: explicit PC numeric statute family 243; core-DV charge excluded from this family,31,31,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=243.
PC,463(B),GRAND THEFT DURING STATE OF EMERGENCY - LOOTING (F),other,463(B),463,0,all,All-source population only; outside the selected statute-family indicators,31,31,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=463.
